Primary Key,Start,End,Length of Placement - Days,Distance,Inside or Outside District,Placement Provision,Placement Type,Change Reason
553,18/07/2023,19/07/2023,884,0,OUT,PR1 - Own provision by LA,Kinship - short term,Allegation (S47)
558,18/07/2023,19/07/2023,884,0,OUT,PR1 - Own provision by LA,Kinship - short term,Allegation (S47)
639,18/07/2023,19/07/2023,884,0,OUT,PR1 - Own provision by LA,Kinship - short term,Allegation (S47)
1341,26/04/2024,09/10/2024,601,0,IN,PR1 - Own provision by LA,Fostering – long term,Allegation (S47)
1346,26/04/2024,26/09/2024,601,0,OUT,PR4 - Private Provision,Fostering – long term,Allegation (S47)
1420,26/04/2024,26/09/2024,601,0,OUT,PR4 - Private Provision,Fostering – long term,Allegation (S47)
431,30/06/2025,22/07/2025,171,1,IN,PR1 - Own provision by LA,Kinship - Unregistered Carer,Allegation (S47)
778,04/04/2023,29/12/2023,989,1,IN,PR4 - Private Provision,Semi-independent supported accommodation,Allegation (S47)
1138,07/05/2025,15/05/2025,225,2,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
1142,07/05/2025,16/05/2025,225,2,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
143,21/03/2025,24/10/2025,272,3,IN,PR4 - Private Provision,Semi-independent supported accommodation,Allegation (S47)
1734,26/04/2023,11/07/2023,967,3,IN,PR4 - Private Provision,Fostering – short term,Allegation (S47)
399,12/04/2024,31/05/2024,615,6,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
125,21/07/2025,19/09/2025,150,7,IN,PR1 - Own provision by LA,Kinship - Unregistered Carer,Allegation (S47)
1466,04/09/2023,05/09/2023,836,9,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
486,20/04/2023,21/04/2023,973,11,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
1032,10/05/2023,15/05/2023,953,42,OUT,PR4 - Private Provision,Fostering – short term,Allegation (S47)
1013,10/01/2024,17/07/2024,708,46,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
151,01/04/2025,19/06/2025,261,80,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Allegation (S47)
579,26/04/2023,23/06/2023,967,80,OUT,PR4 - Private Provision,Fostering – long term,Allegation (S47)
695,02/06/2023,21/08/2025,930,89,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Allegation (S47)
1680,07/06/2024,20/09/2024,559,95,OUT,PR4 - Private Provision,Unregistered Placement,Allegation (S47)
583,12/11/2024,11/12/2024,401,,IN,PR4 - Private Provision,Fostering – short term,Allegation (S47)
594,06/02/2024,18/03/2024,681,,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
956,06/02/2024,18/03/2024,681,,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
1345,26/04/2024,26/09/2024,601,,OUT,PR4 - Private Provision,Fostering – long term,Allegation (S47)
1517,06/02/2024,18/03/2024,681,,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
2529,22/07/2025,17/10/2025,149,2.5,IN,PR1 - Own provision by LA,Fostering – short term,Approval removed
498,01/05/2025,16/09/2025,231,3,IN,PR1 - Own provision by LA,Kinship - short term,Approval removed
647,01/05/2025,16/09/2025,231,3,IN,PR1 - Own provision by LA,Kinship - short term,Approval removed
2218,30/01/2024,27/07/2024,688,5,IN,PR1 - Own provision by LA,Fostering – short term,Approval removed
1058,12/05/2023,13/11/2023,951,9,IN,PR1 - Own provision by LA,Fostering – short term,Approval removed
1865,20/02/2024,27/03/2025,667,10,OUT,PR1 - Own provision by LA,Fostering – short term,Approval removed
2309,19/02/2024,27/03/2025,668,10,OUT,PR1 - Own provision by LA,Fostering – short term,Approval removed
2370,07/10/2024,12/05/2025,437,10,IN,PR1 - Own provision by LA,Fostering – short term,Approval removed
643,26/06/2024,28/01/2025,540,40,OUT,PR3 - Other public provision,Young Offenders Institution/Prison,Approval removed
642,30/05/2023,26/06/2024,933,88,OUT,PR2 - Other LA provision,Secure Unit,Approval removed
152,09/06/2023,01/04/2025,923,,OUT,PR2 - Other LA provision,Residential Unit (Children's Home),Approval removed
756,23/10/2024,28/11/2024,421,,OUT,PR4 - Private Provision,Fostering – short term,Approval removed
819,23/05/2025,03/07/2025,209,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Approval removed
1284,11/10/2023,01/11/2023,799,,IN,PR1 - Own provision by LA,Kinship - short term,Approval removed
2286,04/03/2024,27/09/2024,654,,IN,PR1 - Own provision by LA,Kinship - short term,Approval removed
2419,11/06/2025,28/07/2025,190,,IN,PR1 - Own provision by LA,Fostering – short term,Approval removed
2422,11/06/2025,28/07/2025,190,,IN,PR4 - Private Provision,Fostering – short term,Approval removed
2,21/03/2024,01/05/2024,637,0,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
279,01/08/2025,16/12/2025,139,0,IN,PR1 - Own provision by LA,Kinship - Unregistered Carer,Carer requests placement end due to child's behaviour
282,11/02/2025,01/08/2025,310,0,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Carer requests placement end due to child's behaviour
408,28/05/2025,06/06/2025,204,0,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
552,18/07/2025,29/07/2025,153,0,IN,PR1 - Own provision by LA,Kinship - short term,Carer requests placement end due to child's behaviour
611,24/11/2023,29/05/2025,755,0,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1810,14/02/2024,13/06/2024,673,0,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
1812,16/07/2024,17/04/2025,520,0,OUT,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
1832,18/01/2024,15/04/2024,700,0,OUT,PR0 - Parents or other person with parental responsibility,Placed with Parents,Carer requests placement end due to child's behaviour
2303,06/05/2024,26/07/2024,591,0,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
2305,26/07/2024,06/11/2025,510,0,IN,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
2333,24/12/2024,24/02/2025,359,0,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
2569,21/11/2024,22/09/2025,392,0,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
851,31/05/2024,23/05/2025,566,1,IN,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1029,25/05/2023,05/08/2025,938,1,IN,PR1 - Own provision by LA,Kinship - short term,Carer requests placement end due to child's behaviour
1814,17/04/2025,16/06/2025,245,1,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
27,10/07/2023,04/10/2023,892,1.2,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
118,25/08/2023,01/10/2024,846,2,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
734,19/09/2024,11/11/2024,455,2,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
1839,23/06/2023,19/12/2023,909,2,IN,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
154,25/06/2024,08/09/2025,541,3,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
947,01/12/2023,09/07/2024,748,3,IN,PR1 - Own provision by LA,Fostering – long term,Carer requests placement end due to child's behaviour
974,14/10/2024,22/11/2024,430,3,IN,PR1 - Own provision by LA,Kinship - short term,Carer requests placement end due to child's behaviour
1445,28/03/2025,12/09/2025,265,3,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
92,15/04/2024,06/11/2024,612,4,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
315,09/09/2024,26/01/2025,465,4,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Carer requests placement end due to child's behaviour
931,12/12/2024,20/12/2024,371,4,IN,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
932,20/12/2024,04/07/2025,363,4,IN,PR5 - Voluntary/Third Sector Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1382,08/08/2024,24/07/2025,497,4,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
104,17/09/2024,11/11/2024,457,5,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
324,12/04/2023,21/04/2023,981,5,IN,PR2 - Other LA provision,Fostering – short term,Carer requests placement end due to child's behaviour
646,26/05/2023,13/06/2023,937,5,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
803,06/02/2024,13/02/2024,681,5,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
1023,14/11/2023,17/05/2024,765,5,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
1904,29/05/2025,01/12/2025,203,5,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1905,09/05/2025,29/05/2025,223,5,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1994,25/07/2024,02/01/2025,511,5,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
2236,12/02/2024,28/08/2025,675,5,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
2265,26/03/2025,03/07/2025,267,5,IN,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1105,25/04/2025,31/07/2025,237,5.4,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
318,20/04/2023,15/04/2024,973,6,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
468,02/09/2024,09/09/2024,472,6,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
475,18/04/2023,11/09/2024,975,6,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
623,03/10/2024,22/04/2025,441,6,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
632,20/07/2023,12/08/2024,882,6,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
2506,02/08/2024,24/09/2024,503,6,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
72,09/06/2024,04/07/2024,557,7,IN,PR3 - Other public provision,NHS/Other Hospital,Carer requests placement end due to child's behaviour
240,09/06/2023,26/06/2023,923,7,IN,PR1 - Own provision by LA,Kinship - short term,Carer requests placement end due to child's behaviour
401,23/06/2025,14/08/2025,178,7.2,OUT,PR2 - Other LA provision,Secure Unit,Carer requests placement end due to child's behaviour
1561,25/03/2024,13/12/2024,633,7.6,IN,PR1 - Own provision by LA,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
56,02/08/2024,23/09/2024,503,8,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
2269,03/07/2025,28/07/2025,168,8,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
34,13/05/2023,12/02/2024,950,9,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
524,15/01/2024,27/02/2024,703,9,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1084,15/04/2024,31/05/2024,612,9.5,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
54,11/05/2023,23/06/2023,952,10,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
59,25/07/2023,27/07/2023,877,10,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
74,05/06/2024,09/06/2024,561,10,IN,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
75,25/04/2024,05/06/2024,602,10,IN,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
89,24/05/2024,06/11/2025,573,10,IN,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
226,24/04/2024,08/10/2024,603,10,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
245,19/07/2024,08/01/2025,517,10,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
284,31/05/2024,16/07/2024,566,10,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
285,17/07/2024,10/10/2024,519,10,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
358,01/08/2025,28/08/2025,139,10,OUT,PR4 - Private Provision,Unregistered - in child's best interest,Carer requests placement end due to child's behaviour
683,03/04/2023,31/01/2024,990,10,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
716,08/01/2025,18/07/2025,344,10,IN,PR1 - Own provision by LA,Kinship - short term,Carer requests placement end due to child's behaviour
1057,31/07/2024,06/09/2024,505,10,IN,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
1174,27/10/2023,02/04/2025,783,10,IN,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1243,07/03/2025,11/08/2025,286,10,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
820,12/08/2025,08/09/2025,128,11,OUT,PR4 - Private Provision,Unregistered - in child's best interest,Carer requests placement end due to child's behaviour
166,23/06/2023,13/07/2023,909,12,IN,PR1 - Own provision by LA,Kinship - short term,Carer requests placement end due to child's behaviour
248,08/01/2025,11/03/2025,344,12,IN,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
1085,06/11/2024,07/11/2024,407,13,OUT,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
1086,07/11/2024,27/02/2025,406,13,OUT,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
728,01/08/2023,21/12/2023,870,14.2,IN,PR1 - Own provision by LA,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1,26/05/2023,11/03/2024,937,15,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
1699,22/07/2024,29/01/2025,514,15,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
1700,17/10/2023,22/07/2024,793,15,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
1841,19/12/2023,22/07/2025,730,15,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
1956,31/08/2023,01/04/2025,840,15,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
1140,15/05/2025,12/09/2025,217,16.3,OUT,PR2 - Other LA provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1047,05/09/2025,08/09/2025,104,18,IN,PR1 - Own provision by LA,Unregistered - in child's best interest,Carer requests placement end due to child's behaviour
306,17/04/2023,28/04/2023,976,19,OUT,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
110,29/11/2023,18/02/2024,750,20,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
561,21/08/2024,24/12/2024,484,20,IN,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
635,02/02/2024,28/01/2025,685,20,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
687,30/12/2024,03/01/2025,353,20,IN,PR1 - Own provision by LA,Crisis Foster Care,Carer requests placement end due to child's behaviour
1079,16/04/2024,05/08/2024,611,20,OUT,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
2266,07/03/2025,26/03/2025,286,20,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
789,10/05/2023,16/08/2023,953,24,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
258,07/07/2023,17/02/2025,895,25,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1173,11/08/2023,19/08/2023,860,25,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
1352,11/08/2023,22/09/2023,860,25,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
1632,25/10/2025,31/10/2025,54,25,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
483,11/02/2025,24/03/2025,310,26.7,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
780,20/04/2023,02/10/2024,973,28,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1365,14/02/2025,21/02/2025,307,34,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
576,16/07/2024,16/08/2024,520,35,OUT,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
148,19/06/2023,20/11/2023,913,37,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1820,20/12/2023,10/01/2024,729,42,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
507,22/08/2024,13/01/2025,483,45,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
510,23/08/2024,13/01/2025,482,45,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
779,05/04/2023,20/04/2023,988,48,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1366,12/05/2023,23/09/2024,951,50,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
1367,23/09/2024,28/05/2025,451,50,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1318,27/09/2024,18/10/2024,447,54,OUT,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
161,22/04/2025,01/05/2025,240,56,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
492,20/12/2024,24/07/2025,363,60,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
391,28/01/2025,04/08/2025,324,67,OUT,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
162,13/03/2025,22/04/2025,280,69,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
495,11/07/2025,15/10/2025,160,69,OUT,PR4 - Private Provision,Unregistered - in child's best interest,Carer requests placement end due to child's behaviour
1455,28/07/2025,16/09/2025,143,69,OUT,PR4 - Private Provision,Unregistered - in child's best interest,Carer requests placement end due to child's behaviour
197,11/12/2023,12/12/2024,738,70,OUT,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
265,09/07/2024,27/08/2024,527,72,OUT,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
603,08/07/2024,09/12/2024,528,73,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
1317,19/07/2024,27/09/2024,517,80,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
675,23/06/2025,07/10/2025,178,87,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
696,21/08/2025,18/09/2025,119,89,OUT,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
807,12/10/2023,01/09/2025,798,90,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
808,17/04/2023,12/10/2023,976,90,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
1178,14/08/2023,03/09/2024,857,95,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
231,20/03/2024,25/10/2024,638,102,IN,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
1000,30/05/2023,08/08/2025,933,102,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
445,06/06/2025,07/10/2025,195,110,OUT,PR2 - Other LA provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
761,22/08/2023,07/11/2025,849,115,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
423,30/08/2023,02/08/2024,841,129,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
141,22/09/2023,11/03/2024,818,163,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
365,20/09/2024,20/02/2025,454,200,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1172,19/08/2023,27/10/2023,852,245,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
233,16/01/2025,13/10/2025,336,280,OUT,PR4 - Private Provision,Secure Unit,Carer requests placement end due to child's behaviour
1424,08/01/2025,01/05/2025,344,281,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
1177,19/04/2023,14/08/2023,974,284,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
2182,23/01/2024,05/02/2024,695,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
1295,17/01/2025,27/07/2025,335,,IN,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
77,18/07/2023,30/06/2024,884,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
101,10/05/2024,23/07/2024,587,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
157,07/06/2024,30/05/2025,559,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
163,24/02/2025,13/03/2025,297,,IN,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
167,13/07/2023,23/01/2024,889,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
238,26/06/2023,10/09/2024,906,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
252,25/07/2023,23/08/2023,877,,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
256,23/08/2023,04/09/2023,848,,OUT,PR3 - Other public provision,Young Offenders Institution/Prison,Carer requests placement end due to child's behaviour
310,26/10/2023,01/05/2024,784,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
312,09/05/2023,26/10/2023,954,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
328,03/11/2023,12/06/2024,776,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
343,07/04/2023,15/12/2023,986,,IN,PR1 - Own provision by LA,Kinship - short term,Carer requests placement end due to child's behaviour
356,17/07/2025,18/07/2025,154,,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
418,11/02/2025,13/11/2025,310,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
467,14/04/2025,24/05/2025,248,,IN,PR1 - Own provision by LA,Kinship - Unregistered Carer,Carer requests placement end due to child's behaviour
482,24/03/2025,19/05/2025,269,,IN,PR4 - Private Provision,Unregistered Placement,Carer requests placement end due to child's behaviour
674,29/10/2025,12/11/2025,50,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
676,07/10/2025,29/10/2025,72,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
712,20/10/2025,24/10/2025,59,,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
786,16/11/2023,27/05/2025,763,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
815,09/05/2025,23/05/2025,223,,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
821,06/08/2025,12/08/2025,134,,IN,PR4 - Private Provision,Unregistered - in child's best interest,Carer requests placement end due to child's behaviour
874,28/08/2025,04/09/2025,112,,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
876,14/08/2025,28/08/2025,126,,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
934,06/05/2025,01/12/2025,226,,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
954,16/11/2023,27/05/2025,763,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
997,27/10/2025,11/11/2025,52,,OUT,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
1053,25/03/2024,17/05/2024,633,,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
1188,17/10/2025,20/10/2025,62,,IN,PR1 - Own provision by LA,Unregistered - awaiting alternative,Carer requests placement end due to child's behaviour
1285,01/11/2023,20/03/2024,778,,OUT,PR1 - Own provision by LA,Kinship - short term,Carer requests placement end due to child's behaviour
1299,08/04/2024,08/11/2024,619,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
1340,26/04/2024,09/10/2024,601,,IN,PR1 - Own provision by LA,Fostering – long term,Carer requests placement end due to child's behaviour
1395,02/05/2024,21/08/2024,595,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1584,21/03/2025,19/11/2025,272,,IN,PR1 - Own provision by LA,Residential Unit (Children's Home),Carer requests placement end due to child's behaviour
1608,20/12/2024,02/01/2025,363,,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
1749,08/03/2024,07/11/2024,650,,IN,PR4 - Private Provision,Fostering – short term,Carer requests placement end due to child's behaviour
1830,12/08/2024,25/06/2025,493,,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
2023,05/03/2024,10/03/2025,653,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
2090,28/04/2023,21/04/2025,965,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end due to child's behaviour
2320,28/04/2025,09/05/2025,234,,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end due to child's behaviour
717,18/07/2025,09/09/2025,153,0,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Carer requests placement end other than due to child's behaviour
2345,19/07/2024,14/10/2024,517,0,OUT,PR2 - Other LA provision,Semi-independent supported accommodation,Carer requests placement end other than due to child's behaviour
2568,21/11/2024,22/09/2025,392,0,IN,PR4 - Private Provision,Semi-independent supported accommodation,Carer requests placement end other than due to child's behaviour
681,31/01/2024,13/05/2024,687,1,IN,PR1 - Own provision by LA,Kinship - short term,Carer requests placement end other than due to child's behaviour
886,26/07/2024,30/07/2025,510,1.3,IN,PR4 - Private Provision,Fostering – short term,Carer requests placement end other than due to child's behaviour
373,01/06/2024,05/10/2024,565,2,IN,PR1 - Own provision by LA,Fostering – short term,Carer requests placement end other than due to child's behaviour
544,24/10/2025,31/10/2025,55,2,OUT,PR4 - Private Provision,Fostering – long term,Carer requests placement end other than due to child's behaviour
849,23/05/2025,23/07/2025,209,2,IN,PR4 - Private Provision,Fostering – long term,Carer requests placement end other than due to child's behaviour
